ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
부프로피온염산염,셀레길린염산염,5,bupropion의 급성독성 증가,,,식약처 DUR 병용금기
셀레길린염산염,시클로벤자프린,5,"고혈압, 저혈압, 발한을 동반한 심각한 중추신경계 이상반응(현기, 진전, 발작등)",,,식약처 DUR 병용금기
덱스트로메토르판,셀레길린염산염,5,"경련, 반사항진, 이상고열, 혼수 등",,,식약처 DUR 병용금기
모르핀,셀레길린염산염,5,"경련, 반사항진, 이상고열, 혼수 등",,,식약처 DUR 병용금기
셀레길린염산염,수마트립탄,5,"동맥 고혈압, 관상동맥 수축",,,식약처 DUR 병용금기
셀레길린염산염,트라마돌,5,"세로토닌 작용에 의한 증후군(중추흥분, 설사, 빈맥, 땀, 진전, 혼동, 혼수 등) 야기",,,식약처 DUR 병용금기
니트로글리세린,실데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
니트로푸루시드,실데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
아미로라이드,타크로리무스,5,고칼륨혈증,,,식약처 DUR 병용금기
스피로노락톤,타크로리무스,5,고칼륨혈증,,,식약처 DUR 병용금기
몰시도민,타다라필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
니트로글리세린,타다라필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
니트로푸루시드,타다라필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
에피네프린,테르부탈린황산염,5,부정맥 또는 심정지 유도,,,식약처 DUR 병용금기
브로모크립틴,티오틱센,5,bromocryptine의 효과 저해,,,식약처 DUR 병용금기
독시사이클린,트레티노인,5,두개내 고혈압,,,식약처 DUR 병용금기
옥시테트라사이클린,트레티노인,5,두개내 고혈압,,,식약처 DUR 병용금기
테트라사이클린,트레티노인,5,두개내 고혈압,,,식약처 DUR 병용금기
에피네프린,트리플루오페라진,5,혈압강하,,,식약처 DUR 병용금기
몰시도민,유데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
니트로글리세린,유데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
니트로푸루시드,유데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
몰시도민,바데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
니트로글리세린,바데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
니트로푸루시드,바데나필,5,혈압강하작용 증가,,,식약처 DUR 병용금기
아미설프리드,아미오다론,5,심실성 부정맥(특히 torsades de pointes),,,식약처 DUR 병용금기
디히드로에르고타민,알모트립탄,5,"혈압상승 및 맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
로바스타틴,에리트로마이신,5,횡문근융해증/근육병증 및 이에 수반되는 급격한 신기능악화,,,식약처 DUR 병용금기
디히드로에르고타민,클래리트로마이신,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
아미오다론,인디나빌,5,"부정맥, 혈액장애, 경련등",,,식약처 DUR 병용금기
글리벤클라미드,보센탄,5,간독성 및 간효소치 상승,,,식약처 DUR 병용금기
리토나비르,미다졸람,5,"진정작용의 연장 또는 증가, 호흡저하",,,식약처 DUR 병용금기
넬피나비어,아미오다론,5,"부정맥, 혈액장애, 경련등",,,식약처 DUR 병용금기
겜피브로질,레파글리니드,5,혈당강하 작용 증강,,,식약처 DUR 병용금기
리토나비르,플레카이니드아세테이트,5,"부정맥, 혈액장애, 경련등",,,식약처 DUR 병용금기
시프로플록사신,티자니딘,5,"저혈압에 의해 졸음, 현기증 및 정신운동능력 감소",,,식약처 DUR 병용금기
아타자나비르,오메프라졸,5,아타자나비어 효과감소 및 내성발현,,,식약처 DUR 병용금기
미졸라스틴,아미오다론,5,"QT 연장, 심실성 부정맥",,,식약처 DUR 병용금기
다루나비르,디히드로에르고타민,5,사지 및 기타조직의 말초 혈관경련 및 허혈로 나타나는 급성 맥각 중독과 같은 중대한 그리고/또는 생명을 위협하는 반응,,,식약처 DUR 병용금기
